Date,Entity_Name,Entity_Type,Weather_Condition,College_Exam_Season,Local_Event,Promo_Active,Recent_Review_Avg,Expected_Footfall
2024-01-01,Bistro 1,Restaurant,Clear,False,Concert,False,3.5,169
2024-01-01,Hostel B,Hostel,Clear,False,None,False,,53
2024-01-01,Spice Grill,Restaurant,Heatwave,False,None,False,4.0,197
2024-01-01,UEM Kolkata Hostel,Hostel,Clear,False,Sports Match,False,,74
2024-01-02,Bistro 1,Restaurant,Light Rain,False,Sports Match,True,3.7,184
2024-01-02,Hostel B,Hostel,Heatwave,False,None,False,,42
2024-01-02,Spice Grill,Restaurant,Clear,False,None,True,3.8,219
2024-01-02,UEM Kolkata Hostel,Hostel,Light Rain,False,None,False,,90
2024-01-03,Bistro 1,Restaurant,Light Rain,False,None,False,4.4,114
2024-01-03,Hostel B,Hostel,Heatwave,False,None,False,,58
2024-01-03,Spice Grill,Restaurant,Clear,False,None,False,4.5,228
2024-01-03,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,64
2024-01-04,Bistro 1,Restaurant,Cloudy,False,None,False,4.7,108
2024-01-04,Hostel B,Hostel,Heavy Rain,False,None,False,,57
2024-01-04,Spice Grill,Restaurant,Cloudy,False,None,True,4.9,335
2024-01-04,UEM Kolkata Hostel,Hostel,Clear,False,Local Festival,False,,60
2024-01-05,Bistro 1,Restaurant,Clear,False,None,False,3.9,132
2024-01-05,Hostel B,Hostel,Cloudy,False,None,False,,59
2024-01-05,Spice Grill,Restaurant,Heatwave,False,None,True,4.1,206
2024-01-05,UEM Kolkata Hostel,Hostel,Cloudy,False,None,False,,83
2024-01-06,Bistro 1,Restaurant,Light Rain,False,None,False,3.9,158
2024-01-06,Hostel B,Hostel,Heavy Rain,False,None,False,,55
2024-01-06,Spice Grill,Restaurant,Clear,False,None,False,4.2,251
2024-01-06,UEM Kolkata Hostel,Hostel,Clear,False,Sports Match,False,,71
2024-01-07,Bistro 1,Restaurant,Light Rain,False,None,True,4.8,211
2024-01-07,Hostel B,Hostel,Clear,False,None,False,,40
2024-01-07,Spice Grill,Restaurant,Clear,False,None,True,3.8,291
2024-01-07,UEM Kolkata Hostel,Hostel,Light Rain,False,None,False,,105
2024-01-08,Bistro 1,Restaurant,Heatwave,False,None,False,4.2,126
2024-01-08,Hostel B,Hostel,Light Rain,False,None,False,,40
2024-01-08,Spice Grill,Restaurant,Clear,False,None,False,4.2,184
2024-01-08,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,98
2024-01-09,Bistro 1,Restaurant,Clear,False,None,False,4.3,123
2024-01-09,Hostel B,Hostel,Light Rain,False,None,False,,56
2024-01-09,Spice Grill,Restaurant,Clear,False,None,False,4.0,223
2024-01-09,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,72
2024-01-10,Bistro 1,Restaurant,Clear,False,None,False,4.4,118
2024-01-10,Hostel B,Hostel,Light Rain,False,None,False,,28
2024-01-10,Spice Grill,Restaurant,Heatwave,False,None,True,4.6,291
2024-01-10,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,89
2024-01-11,Bistro 1,Restaurant,Light Rain,False,None,True,4.3,170
